objetoCompra,valorTotalEstimado,modalidadeNome
REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - SISTEMAS HEMATOPOIÉTICO E HEMOSTÁTICO,1.624946621E7,Pregão - Eletrônico
"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAIS DE CONSTRUÇÃO CIVIL, MATERIAIS HIDRÁULICOS, FERRAGENS, MADEIRAS, FERRAMENTAS, INSUMOS DESTINADOS À MANUTENÇÃO PREDIAL, URBANIZAÇÃO, JARDINAGEM E DEMAIS ITENS CORRELATOS, DESTINADOS AO ATENDIMENTO DAS DEMANDAS DAS SECRETARIAS MUNICIPAIS, ÓRGÃOS E FUNDOS DE GESTÃO DO MUNICÍPIO DE DIVINÓPOLIS DE GOIÁS — GO",1.067197387E7,Pregão - Eletrônico
"CHAMAMENTO PÚBLICO VISANDO O CREDENCIAMENTO DE EMPRESAS DA ÁREA MÉDICA PARA A PRESTAÇÃO DE SERVIÇOS NO ATENDIMENTO DE PLANTÕES NA  UNIDADE DE PRONTO ATENDIMENTO (UPA) DE APUCARANA E DEMAIS ESTABELECIMENTOS PERTENCENTES À AUTARQUIA MUNICIPAL DE SAÚDE, BEM COMO OUTROS QUE POR NECESSIDADES EPIDEMIOLÓGICAS E SAZONALIDADES VIEREM A SER CRIADOS.",7879680.0,Credenciamento
"O presente edital tem por finalidade o CREDENCIAMENTO de oficinas mecânicas para prestação de serviços de manutenção preventiva e corretiva, incluindo mão-de-obra, fornecimento de peças, componentes e acessórios para a frota de veículos leves, médios, pesados, máquinas, implementos e equipamentos diversos pertencentes ao Município de Ibirama e suas secretarias, fundos, Fundações e Autarquias, conforme condições estabelecidas neste Termo de Referência (Anexo I).",7843566.5,Credenciamento
REGISTRO DE PREÇOS PARA EVENTUAL PRESTAÇÃO DE SERVIÇOS DE SINALIZAÇÃO DE VIAS.,5082458.96,Pregão - Eletrônico
REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS OPERACIONAIS TIPO RABECÃO,3978000.0,Pregão - Eletrônico
AQUISIÇÃO DE MEDICAMENTOS II,3039057.5,Pregão - Presencial
"Contratação de empresa para execução da obra para MODERNIZAÇÃO E AMPLIAÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA MUNICÍPIO DE SANTA CRUZ DO PIAUÍ– PI, conforme estudo técnico preliminar, projeto básico, planilha orçamentária, memorial descritivo, especificações técnicas e cronograma físico- financeiro.",2039063.38,Concorrência - Eletrônica
"CHAMAMENTO PÚBLICO VISANDO O CREDENCIAMENTO DE PESSOAS JURÍDICAS DA ÁREA DE MÉDICA, PARA PRESTAÇÃO DE SERVIÇOS/REALIZAÇÃO DE PLANTÕES (DIURNOS E NOTURNOS) NA CENTRAL DE REGULAÇÃO MÉDICA DE URGÊNCIA - CRU E UNIDADE MÓVEL DE SUPORTE AVANÇADO DE VIDA - USA, NO SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA - SAMU 192, NO MUNICÍPIO DE APUCARANA/PR.",2021760.0,Credenciamento
"O OBJETO DA PRESENTE LICITAÇÃO É A ESCOLHA DA PROPOSTA MAIS VANTAJOSA PARA REGISTRO DE PREÇO PARA FUTURA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE COMBUSTÍVEL, GASOLINA, ETANOL E DIESEL S500, PARA ABASTECIMENTO DOS VEÍCULOS DA FROTA MUNICIPAL, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS",1668850.0,Pregão - Presencial
