objetoCompra,valorTotalEstimado,modalidadeNome
"Credenciamento de empresa especializada na prestação de serviços de administração e fornecimento de auxílio alimentação e refeição, por meio de cartão magnético e senha individual, para recarga mensal, destinado à aquisição de gêneros alimentícios in natura e refeições para os servidores da Assembleia Legislativa do Estado do Espirito Santo - ALES, em rede de estabelecimentos credenciados abrangendo o Estado do Espirito Santo.",6.88915935E7,Credenciamento
"Convocação pública nos termos da Lei Municipal nº 1.019/2013 - CONTRATAÇÃO DE ORGANIZAÇÃO SOCIAL (OS) QUALIFICADA JUNTO AO MUNICÍPIO DE VARGEM ALTA/ES, PARA A GESTÃO, OPERACIONALIZAÇÃO E EXECUÇÃO DOS SERVIÇOS DE SAÚDE NO PRONTO ATENDIMENTO MUNICIPAL “OCTACÍLIO GERALDO DO CARMO”, LOCALIZADO NA SEDE DO MUNICÍPIO, ABRANGENDO ATENDIMENTOS DE URGÊNCIA E EMERGÊNCIA DE BAIXA E MÉDIA COMPLEXIDADE, EM REGIME DE FUNCIONAMENTO ININTERRUPTO (24 HORAS POR DIA, 7 DIAS POR SEMANA), NO ÂMBITO DO SISTEMA ÚNICO D",3.06865896E7,Concorrência - Eletrônica
SERVIÇOS DE SAÚDE NA ÁREA DE REABILITAÇÃO NEUROPSICOMOTORA,2.90187702E7,Credenciamento
"Execução da obra do viaduto/trincheira sobre a BR-277, entre os KM 585 e 595",2.129962808E7,Concorrência - Eletrônica
"CHAMAMENTO É SELECIONAR EMPRESA DO RAMO DA CONSTRUÇÃO CIVIL PARA ELABORAR OU CONTRATAR A ELABORAÇÃO DE PROJETO DE EMPREENDIMENTO HABITACIONAL DE INTERESSE SOCIAL, PARA CONSTRUÇÃO DE 128 (CENTO E VINTE E OITO) UNIDADES HABITACIONAIS, APARTAMENTOS, COMPOSTO DE INFRAESTRUTURA INTERNA E DEMAIS EXIGÊNCIAS, BEM COMO EXECUTAR AS OBRAS COM AS ESPECIFICAÇÕES EXIGIDAS, EM TERRENOS DE PROPRIEDADE DO MUNICÍPIO DE NOVA ANDRADINA - MS, NO ÂMBITO DO PROGRAMA MINHA CASA MINHA VIDA - PMCMV, COM RECURSOS DO FAR",2.0224E7,Credenciamento
REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS - SISTEMAS HEMATOPOIÉTICO E HEMOSTÁTICO,1.624946621E7,Pregão - Eletrônico
"[Portal de Compras Públicas] - CREDENCIAMENTO é a contratação de EMPRESAS ESPECIALIZADAS PARA A PRESTAÇÃO DE SERVIÇOS DE E EXAMES LABORATORIAIS AO PREÇO DE TABELA SUS, CUJO ROL SEGUE NO ITEM 2 DO TERMO DE REFERÊNCIA, conforme condições, quantidades e exigências estabelecidas neste EDITAL de Credenciamento e seus anexos.",1.6E7,Credenciamento
"Registro de Preços para a Contratação de empresa para o fornecimento parcelado de MATERIAL DE CORRELATOS, nos moldes da justificativa no Estudo Técnico preliminar e Termo de Referência.",1.408109398E7,Pregão - Eletrônico
"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAIS DE CONSTRUÇÃO CIVIL, MATERIAIS HIDRÁULICOS, FERRAGENS, MADEIRAS, FERRAMENTAS, INSUMOS DESTINADOS À MANUTENÇÃO PREDIAL, URBANIZAÇÃO, JARDINAGEM E DEMAIS ITENS CORRELATOS, DESTINADOS AO ATENDIMENTO DAS DEMANDAS DAS SECRETARIAS MUNICIPAIS, ÓRGÃOS E FUNDOS DE GESTÃO DO MUNICÍPIO DE DIVINÓPOLIS DE GOIÁS — GO",1.067197387E7,Pregão - Eletrônico
REGISTRO DE PREÇOS PARA AQUISIÇÃO DE EQUIPAMENTOS DE SEGURANÇA,1.050136708E7,Pregão - Eletrônico
