razaoSocial,total_editais
SECRETARIA DE ESTADO DA ADMINISTRACAO,8
MUNICIPIO DE MANGARATIBA,6
MUNICIPIO DE VARZEA ALEGRE,6
SECRETARIA ESTADUAL DE DEFESA CIVIL,4
FUNDO MUNICIPAL DE SAUDE,4
MUNICIPIO DE ESTRELA,4
MUNICIPIO DE TANABI,3
MUNICIPIO DE CANOAS,3
MUNICIPIO DE GUARANTA,3
MUNICIPIO DE JOAO COSTA,3
MUNICIPIO DE PEIXOTO DE AZEVEDO,3
CAMARA MUNICIPAL DE VEREADORES DE SARANDI,3
MUNICIPIO DE PEDRO AFONSO,3
AUTARQUIA MUNICIPAL DE SAUDE DE APUCARANA A M S,2
MUNICIPIO DE CARAGUATATUBA,2
MUNICIPIO DE CEDRO DO ABAETE,2
MUNICIPIO DE BALSAMO,2
MUNICIPIO DE IBIRAMA,2
DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO,2
MUNICIPIO DE COLNIZA,2
MUNICIPIO DE BORDA DA MATA,2
MUNICIPIO DE ANTONIO PRADO,2
SERVICO AUTONOMO DE AGUA E ESGOTO,2
MUNICIPIO DE GUARAMIRIM,2
MUNICIPIO DE VALPARAISO DE GOIAS,2
MUNICIPIO DE ITAPORANGA,2
MUNICIPIO DE CRAVINHOS,2
MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,2
MUNICIPIO DE IMIGRANTE,2
MUNICIPIO DE PRESIDENTE TANCREDO NEVES,2
MUNICIPIO DE NILOPOLIS,2
MUNICIPIO DE RIVERSUL,2
MUNICIPIO DE JUREMA,2
MUNICIPIO DE BENEDITO NOVO,2
MUNICIPIO DE TUPA,1
MUNICIPIO DE BOITUVA,1
MUNICIPIO DE FRECHEIRINHA,1
MUNICIPIO DE CESARIO LANGE,1
MUNICIPIO DE PALMAS DE MONTE ALTO,1
MUNICIPIO DE CARDOSO,1
CAMARA MUNICIPAL DE BATATAIS,1
MUNICIPIO DE TACAIMBO,1
SURUBIM FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,1
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE TACAIMBO,1
MUNICIPIO DE PINHEIRO,1
SERVICO AUTONOMO DE AGUA E ESGOTO DA ESTANCIA TURISTICA DE IBITINGA - SAAE -,1
FUNDO MUNICIPAL DE SAUDE DE SERRITA,1
MUNICIPIO DE SURUBIM,1
MUNICIPIO DE SAO JOSE DO VALE DO RIO PRETO,1
MUNICIPIO DE VERDELANDIA,1
MUNICIPIO DE REDUTO,1
DEPARTAMENTO ESTADUAL DE TRANSITO,1
MUNICIPIO DE ORTIGUEIRA,1
MUNICIPIO DE SILVA JARDIM,1
CAMARA MUNICIPAL DE CONCEICAO DA FEIRA,1
CAMARA MUNICIPAL DE PALHOCA,1
CIMOG - CONSORCIO INTERMUNICIPAL DA BAIXA MOGIANA,1
MUNICIPIO DE ITAETE,1
MUNICIPIO DE PALMEIRAS DE GOIAS,1
MUNICIPIO DE BRASILANDIA,1
MUNICIPIO DE SANTA INES,1
MARINGA CAMARA MUNICIPAL,1
MUNICIPIO DE VITORIA,1
MUNICIPIO DE PAU DOS FERROS,1
MUNICIPIO DE DIVINOPOLIS DE GOIAS,1
MUNICIPIO DE MONTANHAS,1
BOCAIUVA CAMARA MUNICIPAL,1
MUNICIPIO DE JARDINOPOLIS,1
MUNICIPIO DE POUSO ALTO,1
MUNICIPIO DE PATO BRAGADO,1
MUNICIPIO DE WENCESLAU BRAZ,1
FUNDO MUNICIPAL DE SAUDE DE INHUMAS,1
MUNICIPIO DE ANDARAI,1
MUNICIPIO DE BRITANIA,1
FASI FUNDACAO DE ATENCAO A SAUDE DE ITABUNA,1
MUNICIPIO DE OUROLANDIA,1
CAMARA MUNICIPAL DE CALDAS NOVAS,1
FUNDO MUNICIPAL DE SAUDE DE VARZEA ALEGRE,1
MUNICIPIO DE OURO FINO,1
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CABECEIRAS,1
MUNICIPIO DE BARBALHA - CAMARA MUNICIPAL,1
MUNICIPIO DE JACUTINGA,1
MUNICIPIO DE MONTE ALEGRE,1
MUNICIPIO DE PIRACANJUBA,1
FUNDO MUNICIPAL DE EDUCACAO DE AFOGADOS DA INGAZEIRA - FMEAI,1
MUNICIPIO DE LAJE,1
MUNICIPIO DE ITAMBE,1
CONSIRC - CONSORCIO PUBLICO INTERMUNICIPAL DE SAUDE DA REGIAO DE CATANDUVA,1
MUNICIPIO DE BALNEARIO ARROIO DO SILVA,1
MUNICIPIO DE MARILIA,1
CONSORCIO INTERMUNICIPAL - CI - CENTRO SUL,1
MUNICIPIO DE GUARANESIA,1
MUNICIPIO DE SOLEDADE,1
MUNICIPIO DE RIO BRANCO DO SUL,1
MUNICIPIO DE XANXERE,1
ASSEMBLEIA LEGISLATIVA DO ESTADO DO ESPIRITO SANTO,1
MUNICIPIO DE EUCLIDES DA CUNHA,1
MUNICIPIO DE ALTO CAPARAO,1
MUNICIPIO DE SANTA TEREZINHA DO PROGRESSO,1
MUNICIPIO DE IBIPITANGA,1
Prefeitura Municipal de São Paulo,1
Câmara Municipal de Campinas,1
MUNICIPIO DE ALTO JEQUITIBA,1
MUNICIPIO DE SALTO DO LONTRA,1
MUNICIPIO DE AGUA DOCE,1
MUNICIPIO DE CANTAGALO,1
MUNICIPIO DE CAMPO VERDE,1
MUNICIPIO DE MARINGA,1
SECRETARIA DE ESTADO DA SAUDE,1
FUNDO MUNICIPAL DE EDUCACAO,1
MUNICIPIO DE PARDINHO,1
MUNICIPIO DE MIRADOR,1
MUNICIPIO DE CATURITE,1
MUNICIPIO DE AGUAS BELAS,1
SECRETARIA DE ESTADO DE GESTAO E RECURSOS HUMANOS,1
"CONSORCIO DE ESTUDOS,  RECUPERACAO E DESENVOLVIMENTO DA BACIA DOS RIOS SOROCABA E MEDIO TIETE",1
MUNICIPIO DE ITAIOPOLIS,1
MUNICIPIO DE JAGUARAO,1
MUNICIPIO DE RESPLENDOR,1
CAMARA MUNICIPAL DE MONTEZUMA,1
CONSORCIO INTERMUNICIPAL DO MEDIO VALE DO ITAJAI,1
FUNDO MUNICIPAL DE SAUDE - FMS,1
MUNICIPIO DE FRANCA,1
MUNICIPIO DE SAO FIDELIS,1
CONECTAR - CONSORCIO NACIONAL DE VACINAS DAS CIDADES BRASILEIRAS,1
MUNICIPIO DE MARILAC,1
MUNICIPIO DE CASCAVEL,1
URBS URBANIZACAO DE CURITIBA S/A,1
MUNICIPIO DE ITABERABA,1
MUNICIPIO DE MOSTARDAS,1
MUNICIPIO DE SERICITA,1
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS,1
MUNICIPIO DE PASSABEM,1
DEPARTAMENTO DE ESGOTO E AGUA DE GUAIRA,1
MUNICIPIO DE BELTERRA,1
MUNICIPIO DE PAULA CANDIDO,1
FUNDO MUNICIPAL DE SAUDE DE GUARACIABA/SC,1
SECRETARIA DE ESTADO DA ADMINISTRACAO E DA PREVIDENCIA - SEAP,1
SECRETARIA DE ESTADO DA SAUDE - SES,1
MUNICIPIO DE JITAUNA,1
MUNICIPIO DE PASSO DE TORRES,1
MUNICIPIO DE PORTALEGRE,1
MUNICIPIO DE PAI PEDRO,1
MUNICIPIO DE DURANDE,1
MUNICIPIO DE UTINGA,1
MUNICIPIO DE MOGI-MIRIM,1
MUNICIPIO DE CANUDOS DO VALE,1
MUNICIPIO DE MILHA,1
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,1
MUNICIPIO DE IRACEMA,1
MUNICIPIO DE BANDEIRANTE,1
MUNICIPIO DE WENCESLAU GUIMARAES,1
MUNICIPIO DE BOCAIUVA,1
MUNICIPIO DE JOSE BONIFACIO,1
MUNICIPIO DE PLANALTINO,1
MUNICIPIO DE IGARACU DO TIETE,1
MUNICIPIO DE ITUMBIARA,1
ESTADO DE SERGIPE,1
MUNICIPIO DE PAINEIRAS,1
,1
MUNICIPIO DE EXTREMA,1
MUNICIPIO DE GLORIA,1
MUNICIPIO DE PAPANDUVA,1
MUNICIPIO DE ACAIACA,1
CAMARA DE VEREADORES DO MUNICIPIO DE CAETITE,1
MUNICIPIO DE ABAETE,1
MUNICIPIO DE MODELO,1
MUNICIPIO DE RANCHO ALEGRE,1
MUNICIPIO DE XANGRI-LA,1
PODER JUDICIARIO,1
SERVICO ASSISTENCIAL DOS FUNC E SERV MUNIC DE BEBEDOURO,1
MUNICIPIO DE JAGUARIBARA,1
MUNICIPIO DE ALEGRIA,1
MUNICIPIO DE NOVA ANDRADINA,1
MUNICIPIO DE DERRUBADAS,1
MUNICIPIO DE GUABIJU,1
MUNICIPIO DE LEANDRO FERREIRA,1
MUNICIPIO DE MURIAE,1
MUNICIPIO DE FORTALEZA,1
SECRETARIA MUNICIPAL DA SAUDE,1
MUNICIPIO DE CAPIM GROSSO,1
FUNDO MUNICIPAL DE SAUDE DE APARECIDA DE GOIANIA,1
MUNICIPIO DE CACONDE,1
MUNICIPIO DE MATHIAS LOBATO,1
MUNICIPIO DE CANARANA,1
MUNICIPIO DE SERRO,1
