razaoSocial,total_editais
MUNICIPIO DE VARZEA ALEGRE,6
SECRETARIA DE ESTADO DA ADMINISTRACAO,4
CAMARA MUNICIPAL DE VEREADORES DE SARANDI,3
MUNICIPIO DE CARAGUATATUBA,2
AUTARQUIA MUNICIPAL DE SAUDE DE APUCARANA A M S,2
MUNICIPIO DE CANOAS,2
MUNICIPIO DE MANGARATIBA,2
MUNICIPIO DE JOAO COSTA,2
SECRETARIA ESTADUAL DE DEFESA CIVIL,2
MUNICIPIO DE BALSAMO,1
MUNICIPIO DE TANABI,1
MUNICIPIO DE CESARIO LANGE,1
MUNICIPIO DE GUARANTA,1
MUNICIPIO DE CARDOSO,1
CAMARA MUNICIPAL DE BATATAIS,1
MUNICIPIO DE TUPA,1
MUNICIPIO DE BOITUVA,1
SERVICO AUTONOMO DE AGUA E ESGOTO DA ESTANCIA TURISTICA DE IBITINGA - SAAE -,1
SURUBIM FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,1
FUNDO MUNICIPAL DE SAUDE DE SERRITA,1
MUNICIPIO DE REDUTO,1
MUNICIPIO DE IBIRAMA,1
MUNICIPIO DE SURUBIM,1
MUNICIPIO DE VERDELANDIA,1
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE TACAIMBO,1
MUNICIPIO DE TACAIMBO,1
MUNICIPIO DE SAO JOSE DO VALE DO RIO PRETO,1
MUNICIPIO DE ORTIGUEIRA,1
DEPARTAMENTO ESTADUAL DE TRANSITO,1
MUNICIPIO DE PINHEIRO,1
MUNICIPIO DE VITORIA,1
MUNICIPIO DE PALMAS DE MONTE ALTO,1
MUNICIPIO DE FRECHEIRINHA,1
MUNICIPIO DE CEDRO DO ABAETE,1
MUNICIPIO DE BORDA DA MATA,1
MUNICIPIO DE DIVINOPOLIS DE GOIAS,1
CIMOG - CONSORCIO INTERMUNICIPAL DA BAIXA MOGIANA,1
MUNICIPIO DE SILVA JARDIM,1
DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO,1
MUNICIPIO DE BRASILANDIA,1
MUNICIPIO DE ITAETE,1
MUNICIPIO DE PAU DOS FERROS,1
FUNDO MUNICIPAL DE SAUDE,1
CAMARA MUNICIPAL DE CONCEICAO DA FEIRA,1
MUNICIPIO DE ANTONIO PRADO,1
MUNICIPIO DE SANTA INES,1
MUNICIPIO DE MONTANHAS,1
MUNICIPIO DE COLNIZA,1
MARINGA CAMARA MUNICIPAL,1
SERVICO AUTONOMO DE AGUA E ESGOTO,1
MUNICIPIO DE WENCESLAU BRAZ,1
MUNICIPIO DE PEIXOTO DE AZEVEDO,1
MUNICIPIO DE PALMEIRAS DE GOIAS,1
CAMARA MUNICIPAL DE PALHOCA,1
CAMARA MUNICIPAL DE CALDAS NOVAS,1
BOCAIUVA CAMARA MUNICIPAL,1
MUNICIPIO DE JARDINOPOLIS,1
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CABECEIRAS,1
FUNDO MUNICIPAL DE SAUDE DE INHUMAS,1
MUNICIPIO DE BRITANIA,1
FUNDO MUNICIPAL DE SAUDE DE VARZEA ALEGRE,1
MUNICIPIO DE ANDARAI,1
MUNICIPIO DE POUSO ALTO,1
MUNICIPIO DE VALPARAISO DE GOIAS,1
MUNICIPIO DE BARBALHA - CAMARA MUNICIPAL,1
MUNICIPIO DE PATO BRAGADO,1
MUNICIPIO DE PIRACANJUBA,1
MUNICIPIO DE GUARAMIRIM,1
FASI FUNDACAO DE ATENCAO A SAUDE DE ITABUNA,1
MUNICIPIO DE OUROLANDIA,1
MUNICIPIO DE JACUTINGA,1
MUNICIPIO DE OURO FINO,1
MUNICIPIO DE MONTE ALEGRE,1
